"mid","source","question","option A","option B"
"2395-2","Click the Start From Beginning command on the Quick Access Toolbar, or press the F5 key at the top of your keyboard.","Wie beginne ich eine Diashow in PowerPoint 2013?","Klicken Sie auf den Anfang aus anfangs-Befehl auf der schnellen Zugriffs-Symbolleiste, oder drücken Sie die F5-Taste am oberen Rand Ihrer Tastatur.","Klicken Sie auf das Start Von Anfang auf der Quick Access Werkzeugspalette, oder drücken Sie die Taste F5 oben auf Ihrer Tastatur."
"2407-2","Select the picture, then click the Format tab, click the Compress Pictures command. Select your preferences.","Wie komprimiere ich ein Bild in PowerPoint 2013?","Wählen Sie das Bild aus, klicken Sie auf den Formattab, klicken Sie auf den verkleinern Bilder-Befehl. Wählen Sie Ihre Einstellungen.","Wählen Sie das Bild, dann klicken Sie auf das Format, klicken Sie auf das Register komprimieren Bilder Befehl. Wählen Sie Ihre Präferenzen aus."
"2414-1","Click the image at the top right, then click the settings, go to advanced and at the bottom click on ""Delete Account"".","Wie kann ich einen YouTube-Kanal löschen?","Klicken Sie das Bild an der Spitze an richtig, dann die Einstellungen anklicken, gehen zu fortgeschritten und am unteren Klick auf ""Account löschen"".","Klicken Sie auf das Bild oben auf rechts, dann die Einstellungen klicken, gehen zu fortgeschritten und am unteren auf ""Streiche Konto""."
"2415-1","It is an open source web application framework which runs via the Ruby programming language.","Was ist Ruby on Rails?","Es ist ein Open-Source-Web-Anwendungs-Rahmen, der über der Rubin-Programmiersprache läuft.","Es ist ein OpenSource-Web-Apps Rahmen, der über der Ruby-Programmiersprache ausgeführt wird."
"2428-1","Click and drag to move an audio file to a new location on a slide.","Wie verschiebe ich eine Audiodatei in PowerPoint 2013?","Klicken und ziehen Sie einen Audio-Datei an eine neue Position auf einer Folie.","Klicken und ziehen Sie, um eine Tondatei an eine andere Stelle auf einer Folie zu verschieben."
"2444-1","Deleting a short cut does not remove the file.","Wie kann ich eine Verknüpfung von einer Datei entfernen, ohne die Datei zu löschen?","Das Löschen eines Abkürzung nicht entfernen Sie die Datei.","Eine Verknüpfung zu löschen entfernt die Datei nicht."
"2457-1","Right-click the hyperlink, click Remove Hyperlink.","Wie kann ich einen Hyperlink von PowerPoint 2013 entfernen?","Recht-Klick das Hyperlink, Klick Hyperlink Beseitigen.","Rechtsklicken Sie auf den Hyperlink, klicken Sie auf Hyperlink entfernen."
"2462-2","Go to power options and set the screen display dim/light to a different setting, like 15 minutes or 30 Minutes etc.","Mein HP Laptop-Bildschirm wird schwarz wenn ich ihn etwa 1 Minute nicht nutze.","Sprung zu Netzanschaltungsoptionen und setzen Sie die Bildschirmanzeige Dim / zu einer anderen Einstellung, wie 15 Minuten oder 30 Minuten usw. beleuchten.","Optionen gehen an die Macht und die Bildschirmanzeige Dim / Licht auf eine andere Einstellung, wie 15 Minuten oder 30 Protokoll usw."
"2467-1","You can use html 5 for auto play.","Wie füge ich Autoplay Musik zu meiner Webpage hinzu?","Sie können HTML 5 für Auto spielen.","Sie können html 5 für Automatisches abspielen verwenden."
"2471-1","Games tend to use only one processor core because it's a lot easier to program games in a single ""thread"".","Warum nutzen Spiele nur einen von meinen 2 Dual-Core-Xeon-Prozessoren?","Spiele, nur ein Prozessorkerns, weil seine viel leichter zu Programm Spiele in einem einzigen ""Thread"".","Spiele Auswahl, nur einen Prozessorkern zu verwenden, da sein, Spiele in Programm, einzelne ""Thread""."
"2472-2","That is not possible. You have to go through each page and click on the unlike button under the like drop down menu.","Wie ""unlike"" ich alle Facebookseiten mit einem Klick?","Das ist nicht möglich. Sie müssen durch jede Seite gehen und die ungleichnamige Schaltfläche unter dergleichen klicken Sturz Menü gedrückt.","Das ist nicht möglich. Sie haben, jeder Seite im Gegensatz zu und klicken Sie auf die Schaltfläche unter dem wie Drop-Down-Menü."
"2491-2","Click the Launchpad icon on the Dock to open it. You will see icons for each app that is installed on your computer. Click and drag an icon to change the ordering.","Wie kann ich das Launchpad auf dem Mac neu organisieren?","Klicken Sie auf das Launchpad-Symbol auf dem andocken, um es zu öffnen. Sie werden Symbole für jedes app sehen, das auf Ihrem Rechner installiert ist. Klicken und ziehen Sie ein Symbol, um die Reihenfolge zu ändern.","Klicken Sie das Launchpad-Icon auf dem Dock an, um es aufzumachen. Sie werden sehen Symbole für jede app, dass auf Ihrem Computer installiert ist. Klicken Sie an und ziehen Sie ein Icon, um das Ordnen zu verändern."
"2495-1","Click the Apple icon in the top-left corner of the screen, then select System Preferences. You can then select the desired category to change settings.","Wo ist die Systemeinstellungen auf dem Mac?","Klicken Sie das Apfel-Icon in der oberlinken Ecke vom Bildschirm an, wählen Sie dann System-Präferenzen aus. Sie können dann wählen Sie die gewünschten Kategorie Einstellungen zu ändern.","Klicken Sie auf das Apple-Symbol in der linken oberen Ecke des Bildschirms, wählen Sie dann System-Einstellungen. Sie können dann die gewünschte Kategorie auswählen, um die Einstellungen zu ändern."
"2504-2","It will only effect your ping, therefore they only effect games that require a connection.","Hat die Download/Upload-Geschwindigkeit Einfluss aufs Spielen?","Es wird nur Ihr Klingeln Effekt fest, folglich Effekt fest sie nur Spiele, die eine Verbindung benötigen.","Es wird nur Ihre Ping, sie daher nur Spiele, eine Verbindung erfordern."
"2511-1","Open IE. Click on Help menu and select ""About Internet Explorer"". It will show your current version of Internet Explorer in that. ","Woher weiß ich, welches IE ich habe?","IE öffnen. Klicken Sie auf Hilfe-Menü und wählen Sie ""About Internet Explorer"". Es wird zeigen Sie Ihre aktuelle Version des Internet Explorer.","Klicken Sie Menü Hilfe und wählen Sie ""etwa Internet Explorer"". Es wird die aktuelle Version von Internet Explorer hinein anzeigen."
"2529-1","Press Ctrl+N.","Wie öffne ich bei Google Chrome ein neues Fenster?","Presse Ctrl+N.","Drücken Sie Strg + N."
"2539-1","Click the Chrome menu > Bookmarks > Bookmark Manager. You can organize your bookmarks into folders, delete bookmarks and folders.","Wie verwaltet man bei Chrome Lesezeichen?","Klicken Sie auf die Chrome-Menü > Lesezeichen > Lesezeichen-Manager. Sie können Ihre Bookmarks in Verzeichnisse organisieren, Bookmarks und Verzeichnisse löschen.","Klicken Sie Chromium-Menü > an Lesezeichen > Lesezeichenverwaltung. Sie können Ihre Lesezeichen in Ordner verwalten Lesezeichen und Ordner löschen."
"2545-2","During the first 14 days after deactivation, if you log in to your account, you'll have the option to restore it.","Wie reaktiviert man einen deaktivierten FB-Account?","Während der ersten 14 Tagen nach Deaktivierung, wenn Sie sich an Ihrem Konto anmelden, youll die Option haben, es wiederherzustellen.","Während der ersten 14 Tage nach Warmluftzufuhr, wenn Sie sich an Ihrem Konto, youll haben die Möglichkeit, es wiederherzustellen."
"2558-2","In Google Drive, click Create > Folder. Type a name for your folder, then click OK. You must click the drop-down arrow next to My Drive in the left-navigation pane to see your folders.","Wie erstelle ich einen Ordner auf Google Drive?","Klicken Sie in Google Drive > erstellen Ordner. Geben Sie einen Namen für das Verzeichnis, dann klicken Sie auf OK. Sie müssen den aufklappbaren Pfeil neben meinem Laufwerk im Linknavigationsfenster klicken, Ihre Ordner zu sehen.","Klicken Sie in Google-Laufwerk >-Verzeichnis Einrichten. Tippen Sie einen Namen für Ihr Verzeichnis, dann Klick in Ordnung. Sie müssen Drop-Down klicken Sie auf den Pfeil neben My Drive in der linken Navigationsbereich zu sehen, Ihre Ordner."
"2564-2","Open the file, then click File > Export and select your desired conversion format.","Wie konvertiere ich ein Dokument in eine PDF-Datei?","Öffnen Sie die Datei auf, klicken Sie dann Datei > an exportieren und wählen Sie Ihr Sie Konvertierungsformat aus.","Öffnen Sie die Datei, klicken Sie dann auf Datei > Export und wählen Sie die gewünschte Umwandlung Format."
"2569-1","Select the cell and press the Delete or Backspace key on your keyboard.","Wie lösche ich Zellinhalt in Google Docs?","Wählen Sie die Zelle aus und drücken Sie der Streichen oder Rücktaste auf Ihrer Tastatur.","Wählen Sie die Zelle aus, und drücken Sie die Löschtaste Löschen oder auf Ihrer Tastatur."
"2571-2","It opens the Incognito mode. It allows you to browse the web without saving any information on your computer.","Die Bedeutung der Tastenkombination STRG + SHIFT + N (Google Chrome)?","Es öffnet den Inkognitomodus. Es ermöglicht es Ihnen, sich das Web anzusehen, ohne Informationen auf Ihrem Rechner zu speichern.","Es öffnet den Inkognito-Modus. Es können Sie im Web surfen, ohne etwaige Informationen auf Ihrem Computer."
"2584-2","The 32-bit only allows you to have 4GB of RAM. The 64-bit is faster and allows up to 32GB of RAM.","Was ist der Unterschied zwischen 32 Bit und 64 Bit?","Das 32-bit ermöglicht Ihnen nur 4GByte von Stößel zu haben. Das 64-Bit ist schneller und ermöglicht bis zu 32GByte von Stößel.","Die 32-Bit nur erlaubt es Ihnen, 4 GB Arbeitsspeicher haben. Der 64-Bit ist schneller und erlaubt bis zu 32 GB Arbeitsspeicher."
"2585-2","No, blocking someone overrules everything","Wenn mich jemand auf Facebook blockiert, kann er meine Nachrichten im Gruppenchat sehen?","Nein dauerhaften behandelt jemand alle","Nein, blockende jemand overrules alles"
"2593-1","Click the tab and select Duplicate.","Wie dupliziere ich ein Blatt, auf Google Docs?","Klicken Sie auf das Register und wählen Sie).","Klicken Sie auf den Tabulator und wählen Sie DUPLIKAT aus."
"2609-1","On the Ribbon, select the Page Design tab > Template group > Change Template. Select a template.","Wie wende ich eine neue Vorlage an einer bestehenden Publikation in Publisher 2010 an?","Über die Ribbon, wählen Sie die Seitendesign Tab > Template Gruppe > Ändern Vorlage. Wählen Sie eine Vorlage aus.","Wählen Sie auf dem Laufwerk den Seitendesign-Tab > aus Vorlagegruppe > Groß- Vorlage. Wählen Sie eine Dokumentvorlage."
"2640-2","Download: from internet to your computer. Upload: from your computer to internet.","Was ist der Unterschied zwischen Download und Upload?","Download: Von Internet zu Ihrem Rechner. Upload: Von Ihrem Rechner zu Internet.","Download: Aus dem Internet auf Ihrem Computer. Upload: Von Ihrem Rechner zu Internet."
"2645-1","From the Compose window, select Signature > New. Enter a name for the signature, then click OK, enter the desired signature, click OK.","Wie erstelle ich eine E-Mail Signatur auf Outlook 2010?","Die Compose Fenster aus, wählen Sie Signature > Neu. Geben Sie einen Namen für die Unterschrift ein, dann Klick in Ordnung, die gewünschte Unterschrift eingeben, Klick in Ordnung.","Der Fenster, wählen Signatur > Komponieren Neu. Geben Sie einen Namen für die Signatur ein, dann klicken Sie auf OK, die gewünschte Signatur eingeben, klicken Sie auf OK."
"2656-2","On the Ribbon, click the File > Open >Import. Follow the instructions to import contacts into Outlook.","Wie importiere ich Kontakte zu Outlook 2010?","Klicken Sie auf dem Laufwerk die Datei > an Open > importieren. Folgen Sie in Outlook den Anweisungen, Kontakte zu importieren.","Über die Ribbon, klicken Sie auf die Datei > Open > Import. Folgen Sie den Anweisungen zu importieren Kontakte in Outlook."
"2661-2","Select ""My Channel"", select the number of subscribers you have.","Wie kann ich meine Abonnenten auf YouTube sehen?","Wählen Sie ""meinen Kanal"", die Teilnehmermenge auswählen, die Sie haben.","Wählen Sie ""Meine Channel"", wählen Sie die Anzahl der Abonnenten Sie haben."
"2662-1","They don't get a notification.","Wenn ich aufhöre jemandem auf FB zu folgen, bekommt der das mit?","Sie erhalten eine Benachrichtigung nicht.","Sie erhalten keine Benachrichtigung."
"2666-1","No, you only can post pictures from android or ios","Ist es möglich, Bilder von meinem Computer zu Instagram zu schicken?","Nein, Sie nur können Bilder von android oder ios bekannt geben","Nein, Sie können nur Bilder von android oder iOS bekannt geben"
"2681-2","You cant`t ""share"" it, but you can ""invite people"" to it.","Wie kann ich meine Gruppe auf Facebook teilen?","Sie Cantt ""share"" ""es, aber Sie können"" einlädst Personen ""Gruppierung.","Sie nicht Cantrade ""share"", aber Sie können ""laden Menschen""."
"2691-2","Use a micro USB cable. Once you plug the phone into the computer, it should show up under Computer in the Start Menu. Then you can cut and paste to the computer.","Irgendwelche Vorschläge, wie ich meine Fotos von meinem Samsung S4 auf meinen Computer übertrage?","Verwenden Sie ein Mikro-USB-Kabel. Sobald Sie das Telefon<mqm:issue xml:id=""x66767"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris""> in</mqm:issue> den Rechner anschließen, sollte er unter Rechner im Startmenü erscheinen. Dann können Sie ausschneiden und <mqm:issue xml:id=""x66768"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">an </mqm:issue>den Rechner einfügen.","Benutzen Sie ein Mikro-USB-Kabel. Wenn Sie das <mqm:issue xml:id=""x66769"" type=""Part of speech"" severity=""null"" note="""" agent=""Kim Harris"">Plug</mqm:issue>-Telefon in den Computer <mqm:issue xml:id=""x66770"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">zeigen</mqm:issue>, es sollte unter Computer im Startmenu<mqm:issue xml:id=""x66771"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>. Dann können Sie <mqm:issue xml:id=""x66772"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">entzieht</mqm:issue> und fügen Sie auf den Computer<mqm:issue xml:id=""x66773"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>."
"2695-2","If you use iPhone, you can use Free WhatsApp Recovery.","Kann ich WhatsApp Nachrichten wiederherstellen?","Wenn Sie iPhone verwenden, können Sie <mqm:issue xml:id=""x66763"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Freie</mqm:issue> WhatsApp-Wiederherstellung verwenden.","Wenn Sie iPhone<mqm:issue xml:id=""x66764"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>, können Sie <mqm:issue xml:id=""x66765"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">Kostenlos</mqm:issue> WhatsApp Recovery<mqm:issue xml:id=""x66766"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>."
"2706-1","Right click on the Icon > Delete.","Wie kann ich ein Icon von meinem Desktop deinstallieren?","Richtig das Icon anklicken, Das > Löschen.","Rechts auf das Symbol > klicken löschen."
"2710-2","HTTrack is a free and easy-to-use offline browser utility.","Gibt es irgendwelche ähnlichen Programme wie Wysigot?","Httrack ist ein <mqm:issue xml:id=""x66751"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x66752"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">freier</mqm:issue></mqm:issue> und benutzerfreundliches <mqm:issue xml:id=""x66753"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">Offlinebrowserdienstprogramm</mqm:issue>.","Httrack ist eine <mqm:issue xml:id=""x66754"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">freie</mqm:issue> und einfach zu <mqm:issue xml:id=""x66755"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">bedienenden</mqm:issue> Offline-Browser<mqm:issue xml:id=""x66756"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>."
"2716-2","You need to install JRE. Download it from oracle web page. ","Was kann ich tun, wenn mein PC nicht über Java-Laufzeitumgebung verfügt?","Sie müssen JRE installieren. Laden Sie es <mqm:issue xml:id=""x66745"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">aus</mqm:issue><mqm:issue xml:id=""x66746"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue><mqm:issue xml:id=""x66747"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Orakelwebseite</mqm:issue> herunter.","Sie müssen JRE installieren. <mqm:issue xml:id=""x66748"" type=""Untranslated"" severity=""null"" note="""" agent=""Kim Harris"">Download</mqm:issue> von<mqm:issue xml:id=""x66749"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>oracle <mqm:issue xml:id=""x66750"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Web-Seite</mqm:issue>."
"2732-2","Go to youtube. On the right side click on History and then 'Clear all watch history'.","Wie löscht man den Verlauf bei YouTube?","Gehen Sie <mqm:issue xml:id=""x66757"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">nach</mqm:issue> YouTube. Auf der rechten Seite klicken <mqm:issue xml:id=""x66758"" type=""Unintelligible"" severity=""null"" note="""" agent=""Kim Harris"">und dann jede Uhrchronik Verlauf löschen</mqm:issue>.","Gehen Sie zu youtube. Auf der <mqm:issue xml:id=""x66759"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">richtigen</mqm:issue> Seite Chronik <mqm:issue xml:id=""x66760"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">anklicken</mqm:issue> und dann <mqm:issue xml:id=""x66761"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">jede</mqm:issue> <mqm:issue xml:id=""x66762"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Uhrchronik</mqm:issue> Löschen."
"2738-1","If it lets you, your system would stop working altogether. ","Was passieren würde, wenn ich System32 lösche?","Wenn es können Sie, Ihr System nicht mehr funktionieren würde.","Wenn Sie können, würde Ihr System mehr, im ganzen zu arbeiten."
"2752-1","Click on the Privacy Shortcuts icon in the upper right hand corner of the FB toolbar.","Wo kann ich meine Facebookeinstellungen ändern?","Klicken Sie<mqm:issue xml:id=""x66711"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>das Privatsphären-<mqm:issue xml:id=""x66712"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">Abkürzungs-Icon</mqm:issue> in dem oberen <mqm:issue xml:id=""x66713"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">an richtig Zeigerecke</mqm:issue> <mqm:issue xml:id=""x66714"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">von</mqm:issue> der FB-Toolbar.","Klicken Sie auf das Privatsphären-<mqm:issue xml:id=""x66715"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">Abkürzungsicon</mqm:issue> in dem oberen <mqm:issue xml:id=""x66716"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">an rechts Zeigerecke</mqm:issue> der FB-Symbolleiste."
"2780-1","Connect your portable storage to one of your PC's USB port, go to My Computer and right-click on the device you want to format. There should be a Format option which will allow you to choose FAT, FAT32, NTFS etc.","Ich muss eine tragbare Festplatte zu FAT32 formatieren, damit sie auf der PS3 funktioniert.","Schließen Sie einen tragbaren Speicher zu einem Ihres PCs USB-Port, klicken Sie auf den Mein Computer und mit der rechten Maustaste auf das Gerät, das Sie formatieren möchten. Es sollte ein Format Option, die Ihnen erlaubt zu wählen Sie FAT, FAT32, NTFS usw.","Schließen Sie Ihre tragbare Speicher bei einem Ihres PCs-USB-Ports, gehen Sie zu meinem Rechner und rechtsklicken Sie auf dem Gerät, das Sie formatieren möchten. Es sollte eine Formatoption, die Sie, geben, Fett, FAT32, NTFS usw. zu wählen."
"2783-1","Update iPhone will not delete any files on your iPhone.","Wenn ich mein iPhone auf iOS 7.1.2 aktualisiere, wird es alles löschen?","Update iPhone wird <mqm:issue xml:id=""x66710"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">nicht alle </mqm:issue>Dateien auf Ihrem iPhone löschen.","Update iPhone wird keine Dateien auf Ihrem iPhone löschen."
"2789-1","Sign in to Skype, tap Contacts > Search icon > Skype directory. Enter a contact's name and select the contact you want to add from the search results.","Wie füge ich Kontakte zu Skype hinzu?","Melden Sie sich bei Skype, tappe Kontakte > Suchsymbol > Skype-Verzeichnis. Geben Sie einen Kontakte Namen und wählen Sie den Kontakt, den Sie hinzufügen möchten von der Suchergebnisse.","Melden Sie sich nach Skype ein, Hähnekontakten > findet Symbol > Skype-Ordner. Geben Sie einen Kontaktenamen ein und wählen Sie aus den Suchergebnissen den Kontakt aus, den Sie einfügen möchten."
"2795-1","Clock speed means the operating speed of a computer.","Was bedeutet Taktfrequenz?","<mqm:issue xml:id=""x66729"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Uhr-</mqm:issue>Geschwindigkeit<mqm:issue xml:id=""x66730"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue><mqm:issue xml:id=""x66731"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">für</mqm:issue> die Arbeitsgeschwindigkeit des Computers.","Taktgebergeschwindigkeit<mqm:issue xml:id=""x66732"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue><mqm:issue xml:id=""x66733"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">für</mqm:issue> die Arbeitsgeschwindigkeit des Computers."
"2808-1","You can use a cloud services like Dropbox.","Wie kann ich Daten von meinem Samsung Mobile zu meinem Laptop übertragen, ohne Bluetooth oder USB?","Können Sie eine Cloud-Dienste wie Dropbox<mqm:issue xml:id=""x66727"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>.","Sie können eine <mqm:issue xml:id=""x66728"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Wolke Dienste</mqm:issue> wie Dropbox verwenden."
"2833-2","You can't. They are not compatible.","Wie kann ich meine XBOX 360 Festplatte als Backup für meinen Computer?","<mqm:issue xml:id=""x66725"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Sie Auswahl</mqm:issue>. Sie sind nicht kompatibel.","<mqm:issue xml:id=""x66726"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Cantrade Sie</mqm:issue>. Sie sind nicht kompatibel."
"2836-1","Open a blank word document, insert the picture and then save the document as pdf.","Wie kann ich ein Bild in eine PDF Datei konvertieren?","Öffnen Sie ein leeres Word-Dokument, das Bild <mqm:issue xml:id=""x66717"" type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""Kim Harris"">einfügen</mqm:issue> und speichern Sie das Dokument als PDF.","Öffnen Sie ein leeres <mqm:issue xml:id=""x66718"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Wortdokument</mqm:issue>, fügen Sie die Grafik ein und speichern Sie das Dokument als PDF."
"2858-1","Sometimes it only takes one. Especially if the person who is in the video reports it themselves.","Kann ein Video von Facebook entfernt werden, wenn viele Menschen davon berichten?","<mqm:issue xml:id=""x66719"" type=""Overly literal"" severity=""null"" note="""" agent=""Kim Harris"">Es dauert nur manchmal</mqm:issue>. Vor allem, wenn die Person, die in <mqm:issue xml:id=""x66720"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">der Video-Berichte</mqm:issue> <mqm:issue xml:id=""x66721"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">ist</mqm:issue> es selbst.","<mqm:issue xml:id=""x66722"" type=""Overly literal"" severity=""null"" note="""" agent=""Kim Harris"">Manchmal dauert nur ein</mqm:issue>. Insbesondere wenn die Person, die <mqm:issue xml:id=""x66723"" type=""Addition"" severity=""null"" note="""" agent=""Kim Harris"">Sie</mqm:issue> im Video ist, <mqm:issue xml:id=""x66724"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">über gemeldet</mqm:issue>."
"2883-2","It means the speed (bandwidth) at which it's writing to the disk or reading from it. 100% would mean that it's using the hard drive as fast as it can.","Was ist Festplatten-Nutzung?","Er bedeutet Nominalzins (Bandbreite) an dem er auf der Festplatte abspeichernd oder davor lesend. 100% würden bedeuten dass sie das schwerfällt Laufwerk so schnell verbrauchend wie es können.","Es bedeutet, dass die Geschwindigkeit (Bandbreite), bei dem der auf die Festplatte schreiben oder Lesung aus. 100% würde bedeuten, dass die mit der Festplatte so schnell, wie es können."
"2886-1","2.5"" SATA not over 9.5mm thick. The brand doesn't matter. ","Welche Art von SSD kann ich für Macbook Pro Mid 2010 nutzen?","2,5 ""-SATA-nicht über 9.5mm thick. Die gewünschte ist unerheblich.","2,5 ""SATA nicht über 9. 5 mm Dick. Die gewünschte ist unerheblich."
"2909-1","Right click on your desktop > Personalize > Classic Theme.","Wie kann ich den Windows 7 Knopf in die klassische Ansicht wechseln?","Mit der rechten Maustaste auf Ihrem Desktop > Personalisieren > Classic Theme.","Rechts Ihre Arbeitsumgebung > klicken personalisieren Sie > klassisches Thema."
"2911-2","In general, it is safe. Make absolutely sure that the bios update applies to your computer manufacturer and model.","Ist es sicher, mein BIOS zu aktualisieren?","Im Allgemeinen ist es sicher. Vergewissern Sie sich vollständig sicher, dass das Bios Update auf Ihren Computerhersteller bezieht und Modellieren.","Im Allgemeinen, es ist sicher. Stellen Sie sicher, dass das BIOS Update ist für Ihren Computer Hersteller und Modell."
"2916-2","Windows media player or VLC.","Was ist ein kostenloser DVD-Player für den PC, damit ich meine DVDs anschauen kann?","Fenstermedienspieler oder VLC.","Windows Media Player oder VLC."
"2933-2","Control Panel > Hardware and Sound > Devices and Printers then right click on the printer you want to set as default and click the option.","Wie stelle ich den Standarddrucker ein?","Steuerelement auf > Hardware und Gesundes > Geräte und Drucker dann nach rechts den Drucker klicken, den Sie als Standard anpassen und die Option.","Systemsteuerung > Hardware und Sound > Geräte und Drucker dann mit der rechten Maustaste auf den Drucker, den Sie als Standardbrowser festlegen wollen und klicken Sie auf die Option."
"2941-2","You will not be able to login into pintrest, because it logs into facebook for you.","Kann ich trotz deaktiviertem FB Pinterest nutzen?","Sie werden<mqm:issue xml:id=""x66740"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>nicht in pintrest anmelden können, da es in Facebook für Sie <mqm:issue xml:id=""x66741"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">bekannt</mqm:issue>.","Sie werden<mqm:issue xml:id=""x66742"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>nicht in pintrest anmelden können, da es in <mqm:issue xml:id=""x66743"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">facebook</mqm:issue> für Sie <mqm:issue xml:id=""x66744"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">bekannt</mqm:issue>."
"2967-1","Install File Expert. Open the app and find Zip Files icon. Enter the file name and click the magnifying lens icon. ","Wie kann ich eine ZIP-Datei auf meinem Android Handy nach Namen suchen?","Datei Expert installieren. Öffnen Sie die App finden und Zip-Dateien Symbol. Geben Sie den Dateinamen und klicken Sie auf das Symbol vergrößernder Objektive.","Setzen Sie Datei-Fachmann ein. Öffnen Sie das APP- und Zip-Dateien-Symbol auf. Geben Sie den Dateinamen ein und klicken Sie auf das vergrößernde Linsenicon."
"2973-1","Go to Settings > Security > Deactivate.","Wie Facebook deaktivieren?","Gehen Sie <mqm:issue xml:id=""x66734"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">zu</mqm:issue> Einstellungen > Sicherheit > Deaktivieren.","<mqm:issue xml:id=""x66735"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Sprung zu</mqm:issue> Einstellungen > <mqm:issue xml:id=""x66736"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Wertpapiers</mqm:issue> > <mqm:issue xml:id=""x66737"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">deaktivieren</mqm:issue>."
"2983-1","K-Lite codec is safe.","Ist K-Lite Codec sicher?","<mqm:issue xml:id=""x66738"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">K-Lite codec</mqm:issue> <mqm:issue xml:id=""x66739"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">sicher</mqm:issue> ist.","K-Lite-Codec ist sicher."
"2993-2","Go to Control Panel > Program and Features.","Wie kann ich meine List der Computerprogramme finden?","Sprung zu Steuerelement auf > -Programms und Funktionen.","Gehen Sie zu Systemsteuerung > Program und Funktionen."
